asset_name,file_name,file_format,file_size_mb,mesh_count,vertex_count,face_count,edge_count,surface_area,bounding_box_volume,vertex_density,polygon_density,bbox_x,bbox_y,bbox_z,is_watertight,is_winding_consistent,euler_number,duplicate_faces,degenerate_faces,material_count,texture_count,total_texture_pixels,total_texture_memory_mb,max_texture_width,max_texture_height,has_normal_map,has_displacement_map,complexity_tier,file_size_bytes,extraction_time_s,extracted_at,render_time_seconds,mesh_objects,rendered_at
2_c4afd8f228f4424d946dfd3a4ec31502,scene.gltf,gltf,0.0159,10.0,637055.0,1109260.0,1747265.0,54481.851543,1253228.877534,0.5083,0.8851,88.290161,84.206406,168.567154,False,True,-21.0,,0.0,1,2,1048576,3.0,1024,512,False,False,extreme,16621,1.572,2026-06-14T09:22:09.233690,86.1539,10,2026-06-13T10:56:46.309088
3D Premium Floorplan C10_a2475c32d03949479b7f68dd03a9f851,scene.gltf,gltf,0.0367,24.0,1236246.0,1356238.0,2494692.0,517.002249,74.182167,16665.0026,18282.5342,4.770199,11.923,1.3043,False,True,1388.0,,8.0,6,10,35651584,102.0,2048,2048,False,False,extreme,38496,2.2799,2026-06-14T09:22:11.514987,67.538,24,2026-06-13T10:58:00.176224
3D Premium floorplan_8b7cd98dc9784ed8aeeb58ee139f78b1,scene.gltf,gltf,0.0565,39.0,2289930.0,2081530.0,4061615.0,614569983.654994,2648415414.129653,0.0009,0.0008,2042.193359,589.476562,2200.000122,False,True,1156.0,,0.0,7,12,25165824,72.0,2048,2048,False,False,extreme,59296,3.6371,2026-06-14T09:22:15.153448,69.2679,39,2026-06-13T10:59:24.668051
74 911 RS PROJECT PORSCHE_3Ksj3oYImuP5mdtl2pNbq4zYpYb,scene.gltf,gltf,0.1983,134.0,2487556.0,4046419.0,6500010.0,146283.584393,852.838244,2916.797,4744.65,4.119492,14.218731,14.560028,False,True,126.0,,0.0,48,2,524288,1.5,512,512,False,False,extreme,207932,6.3195,2026-06-14T09:22:21.474504,346.8513,134,2026-06-13T11:05:24.490237
A K B 11-13-32_c7b53af05de34f36a2c17955adad15f8,scene.gltf,gltf,0.0702,41.0,947755.0,1442961.0,2374079.0,92382.722394,3202761.276292,0.2959,0.4505,124.912605,181.259857,141.454468,False,False,538.0,,0.0,40,0,0,0.0,0,0,False,False,extreme,73633,2.3081,2026-06-14T09:22:23.783890,131.7831,41,2026-06-13T11:07:41.699919
Acer TravelMate 3000 Laptop_79355883f7684c2b91b60edd926ae6a2,scene.gltf,gltf,0.0162,10.0,637387.0,1048680.0,1685374.0,278486.030802,15461970.885381,0.0412,0.0678,262.585693,252.821564,232.905464,False,True,-823.0,,0.0,1,0,0,0.0,0,0,False,False,extreme,16964,1.8591,2026-06-14T09:22:25.644387,53.6414,10,2026-06-13T11:08:39.636392
ackbar_612f3af0450342c48a22ae65f0925926,scene.gltf,gltf,0.0154,9.0,528627.0,1025024.0,1553601.0,77652.01417,742300.747174,0.7121,1.3809,109.019691,86.173198,79.013762,False,True,-2.0,,0.0,1,0,0,0.0,0,0,False,False,extreme,16161,2.3426,2026-06-14T09:22:27.988590,93.8355,9,2026-06-13T11:10:18.592880
Aerial Photogrametry Test with GoPro_a1d4bad94f8349ca825df48badfd0aac,scene.gltf,gltf,0.0295,19.0,1228490.0,2035356.0,3264386.0,335.799239,172.658474,7115.1446,11788.3354,10.29986,6.555248,2.557216,False,True,-992.0,,198.0,1,0,0,0.0,0,0,False,False,extreme,30899,3.4897,2026-06-14T09:22:31.479592,61.7973,19,2026-06-13T11:11:27.682830
Apocalypse Tank _89648717bd3e4861b9b069e49baa9361,scene.gltf,gltf,0.2902,171.0,2346516.0,3482568.0,5646377.0,3116.68313,16.898536,138859.1305,206086.9666,1.94975,3.9338,2.20322,False,True,-45.0,,0.0,15,12,1179648,3.375,512,512,False,False,extreme,304331,7.2705,2026-06-14T09:22:38.751929,157.5496,171,2026-06-13T11:14:15.325019
Aquincum porcelán_71e4e330ef034599bc18179de63ab524,scene.gltf,gltf,0.0125,10.0,635346.0,1009204.0,1645817.0,26563.567988,182130.213286,3.4884,5.5411,64.959099,63.319571,44.279636,False,True,-2615.0,,1.0,1,0,0,0.0,0,0,False,False,extreme,13113,2.0557,2026-06-14T09:22:40.809252,93.6877,10,2026-06-13T11:15:53.392491
Arena Stage Facade_0356a42c2fe948b09028cd0fda6fbb34,scene.gltf,gltf,0.3917,286.0,2757621.0,3135862.0,5847196.0,7598712610.222905,127573158.449456,0.0216,0.0246,416.969971,434.625,703.946777,False,True,440.0,,0.0,4,0,0,0.0,0,0,False,False,extreme,410679,5.3245,2026-06-14T09:22:46.135179,73.2576,286,2026-06-13T11:17:18.218234
Arm Study 2_araRr8QdhIchIP1kWmqjfHP46Om,scene.gltf,gltf,0.0276,19.0,1243449.0,1894950.0,3136489.0,0.215313,0.017134,72570944.24,110594250.9805,0.747652,0.1533,0.149494,False,True,-2207.0,,3.0,1,0,0,0.0,0,0,False,False,extreme,28958,5.5291,2026-06-14T09:22:51.665868,96.4019,19,2026-06-13T11:19:01.408980
B A S E B A L L_a45d2ef270f64fddab1c7fd545a2640f,scene.gltf,gltf,0.0248,21.0,754612.0,1428822.0,2183487.0,15.402623,0.079815,9454525.704,17901695.607,0.491533,1.42169,0.114216,False,True,1.0,,14.0,1,0,0,0.0,0,0,False,False,extreme,25971,2.7888,2026-06-14T09:22:54.456389,113.6909,21,2026-06-13T11:20:59.976910
BHIVE NEW_e2689318bebb4c31af793a2cab0f406c,scene.gltf,gltf,15.3981,,,,,,,,,,,,,,,,,55,0,0,0.0,0,0,False,False,unknown,16146051,6.4303,2026-06-14T09:23:00.887914,70.9356,14183,2026-06-13T11:25:58.534179
Big Mac_afdeec94d4ea402c9db827ea048abf6a,scene.gltf,gltf,0.0431,29.0,1296355.0,2483200.0,3779391.0,6.234386,0.014432,89824008.3918,172060105.1707,0.214431,0.301976,0.22288,False,True,-36.0,,0.0,1,0,0,0.0,0,0,False,False,extreme,45161,4.6946,2026-06-14T09:23:05.583998,93.7891,29,2026-06-13T11:27:41.068985
Bison Antiquus_513ea187e5de452eaec5293d53b0ee5f,scene.gltf,gltf,0.0233,15.0,920340.0,1534223.0,2453735.0,2.788135,0.371166,2479591.9592,4133523.4962,1.504357,0.397048,0.621404,False,True,-16.0,,1.0,1,2,33554432,96.0,4096,4096,False,False,extreme,24402,2.7876,2026-06-14T09:23:08.372900,139.4418,15,2026-06-13T11:30:05.930476
Boar Beetle_705586ff1ac74881b76d23e45d2ab8a6,scene.gltf,gltf,0.013,10.0,638561.0,1018030.0,1655349.0,376036.113513,4202957.506719,0.1519,0.2422,197.540817,221.905067,95.880642,False,True,-714.0,,0.0,1,0,0,0.0,0,0,False,False,extreme,13682,2.2579,2026-06-14T09:23:10.631934,113.1047,10,2026-06-13T11:32:03.423091
Borghese Gladiator (VisualSFM)_63c1bcc3a7ae48d7acee90963610ead0,scene.gltf,gltf,0.0803,58.0,3783829.0,1262212.0,3785236.0,0.224081,0.000152,24819829506.3061,8279413958.9325,0.064323,0.03975,0.059625,False,True,21830.0,,4338.0,1,2,8388608,24.0,2048,2048,False,False,extreme,84180,4.6129,2026-06-14T09:23:15.245954,53.298,58,2026-06-13T11:33:06.621590
Bryzoan_1e8ac9baa2cf4a1b9818eec1ad336d9b,scene.gltf,gltf,0.0126,10.0,599061.0,1000004.0,1600600.0,6725.299973,84421.064957,7.0961,11.8454,54.281301,65.84996,23.618105,False,False,-1168.0,,0.0,1,0,0,0.0,0,0,False,False,extreme,13196,1.8251,2026-06-14T09:23:17.072108,159.2097,10,2026-06-13T11:35:50.269042
Bréguet Br 761 _Deux ponts__39e622c70f484b67b7f7fc1872429a4b,scene.gltf,gltf,0.0583,39.0,1245239.0,1379046.0,2600870.0,1860.663124,0.693459,1795691.4764,1988647.278,0.515335,1.134174,1.186456,False,False,1195.0,,5.0,12,20,5242880,14.5,1024,1024,False,False,extreme,61162,2.9874,2026-06-14T09:23:20.060761,97.8601,39,2026-06-13T11:37:34.203199
Buurtboomgaard_138da160d5814ead8438f0f996814ac0,scene.gltf,gltf,0.0372,25.0,906205.0,1568313.0,2470743.0,17381.349953,17462.525916,51.8943,89.8102,102.630848,18.942004,8.982624,False,True,123.0,,0.0,1,0,0,0.0,0,0,False,False,extreme,39048,2.7604,2026-06-14T09:23:22.822214,85.3386,25,2026-06-13T11:39:05.004957
C B R- A2- B19_08b50c173c7a4307b63b140d3792be10,scene.gltf,gltf,0.0822,48.0,836251.0,1322034.0,2144780.0,96657.853862,2482759.563975,0.3368,0.5325,125.810413,147.708435,133.601944,False,False,428.0,,0.0,48,0,0,0.0,0,0,False,False,extreme,86145,2.3117,2026-06-14T09:23:25.135133,184.4523,48,2026-06-13T11:42:14.373231
Captive Minecraft 3_1d8e55a8104b4f3b9cd952763bfd0261,scene.gltf,gltf,0.1468,120.0,6164019.0,3082228.0,7705403.0,1529103.381861,465426.0,13.2438,6.6224,78.0,153.0,39.0,False,True,16383.0,,0.0,1,0,0,0.0,0,0,False,False,extreme,153909,8.1663,2026-06-14T09:23:33.302829,104.7053,120,2026-06-13T11:44:14.965964
Castleruddery Quartz Boulder_aed0548872a34ef4a634d133f808aa2e,scene.gltf,gltf,0.0299,19.0,969509.0,1494096.0,2463918.0,1536.46658,8778.737525,110.4383,170.1949,37.013634,10.390946,22.825235,False,True,-2207.0,,0.0,5,8,134217728,384.0,4096,4096,False,False,extreme,31379,4.2987,2026-06-14T09:23:37.602774,196.1698,19,2026-06-13T11:47:37.902424
CES 2015 demo with DJI Phantom Vision+ and Pix4D_2579d05687924e78a5c63da23baa0b9e,scene.gltf,gltf,0.0175,11.0,708273.0,1000000.0,1694676.0,17163.153104,85991.646589,8.2365,11.629,132.371201,5.4646,118.878799,False,True,340.0,,0.0,1,2,134217728,384.0,8192,8192,False,False,extreme,18362,3.2348,2026-06-14T09:23:40.839025,131.0259,11,2026-06-13T11:49:54.027606
Chelichnus Trails_7563feafa629418c8370442ed0da37ac,scene.gltf,gltf,0.0318,20.0,1285600.0,2166173.0,3452568.0,8.008312,11.080181,116026.9803,195499.776,2.817678,2.475883,1.588274,False,True,220.0,,0.0,1,0,0,0.0,0,0,False,False,extreme,33334,4.9642,2026-06-14T09:23:45.804916,62.7323,20,2026-06-13T11:51:04.110274
Cidade Universitária - USP_c87e7acaaaf0456593738f3df99d729c,scene.gltf,gltf,0.0204,13.0,794531.0,1282061.0,2075403.0,2911.144643,3368.397378,235.878,380.6145,19.836093,6.917734,24.547278,False,True,-710.0,,0.0,1,2,33554432,96.0,4096,4096,False,False,extreme,21391,2.7722,2026-06-14T09:23:48.578480,100.9009,13,2026-06-13T11:52:50.214011
Colonnaded Street from Antiochia ad Cragum_1f1fabda502040d6b75504fc6779b630,scene.gltf,gltf,0.0516,35.0,2237617.0,3623113.0,5868305.0,15724.608191,11466.025712,195.1519,315.9868,46.200354,39.623747,6.263428,False,True,59.0,,0.0,1,2,134217728,384.0,8192,8192,False,False,extreme,54101,9.1877,2026-06-14T09:23:57.767345,72.2491,35,2026-06-13T11:54:11.950191
Consolidated B-24 Liberator_588c1e31a5d3448f9c8183bc613f645c,scene.gltf,gltf,0.0637,42.0,1088916.0,1165926.0,2229650.0,973.0364,0.641453,1697576.6916,1817632.2157,0.515335,1.096476,1.13521,False,True,960.0,,29.0,17,30,5636096,14.875,1024,1024,False,False,extreme,66845,3.1742,2026-06-14T09:24:00.943826,91.0422,42,2026-06-13T11:55:48.989944
Cookie Machine_3qtWhJTWFwJkr0olQA4dpZhVD4q,scene.gltf,gltf,0.114,82.0,812669.0,1263564.0,2070306.0,30660041.837269,73352561.271283,0.0111,0.0172,583.093979,785.477043,160.156006,False,True,5.0,,0.0,14,0,0,0.0,0,0,False,False,extreme,119510,2.3507,2026-06-14T09:24:03.296023,68.8533,82,2026-06-13T11:57:04.306993
Cozinha_8611878e9e7e4516983bbed3ccf031a1,scene.gltf,gltf,0.1006,61.0,2781351.0,1035164.0,2913233.0,359.372599,0.000726,3831406952.3699,1425974120.6496,0.15331,0.15464,0.03062,False,True,1.0,,37.0,10,4,33685504,96.375,4096,4096,False,False,extreme,105536,2.7262,2026-06-14T09:24:06.023355,67.8637,61,2026-06-13T11:58:18.961965
Cube of cube_d5txMpgClQCuJRT9YfjPr9c62oy,scene.gltf,gltf,0.0709,54.0,3183624.0,1591812.0,3979530.0,513.487133,4301.185787,740.1736,370.0868,19.075399,19.049999,11.836399,False,True,16383.0,,0.0,6,0,0,0.0,0,0,False,False,extreme,74352,5.4184,2026-06-14T09:24:11.443372,83.0706,54,2026-06-13T11:59:51.592652
Dalek_16fb21a933ab4db8bb6921cc16956941,scene.gltf,gltf,0.0607,37.0,580205.0,1089924.0,1669454.0,2218.711537,55.709311,10414.8658,19564.4854,5.05922,5.05922,2.17651,False,True,-1.0,,0.0,1,0,0,0.0,0,0,False,False,extreme,63647,2.3091,2026-06-14T09:24:13.753680,123.7638,37,2026-06-13T12:01:59.748340
Dandora Dump_cd56dd05c2224112b45449fce3c495f3,scene.gltf,gltf,0.0675,46.0,3000000.0,1000000.0,3000000.0,1215.592434,3425.047546,875.9002,291.9667,31.075511,4.00925,27.490661,False,True,21844.0,,0.0,1,2,134217728,384.0,8192,8192,False,False,extreme,70795,3.0252,2026-06-14T09:24:16.780099,57.2369,46,2026-06-13T12:03:03.601175
DeLorean (Back To The Future)_7bae1ee2b70044ed973b27a828cf0f54,scene.gltf,gltf,3.0643,1965.0,1440212.0,1693243.0,3046281.0,1120474.564573,104670.385686,13.7595,16.1769,23.022957,66.769788,68.089905,False,True,6943.0,,0.0,42,0,0,0.0,0,0,False,False,extreme,3213196,5.2469,2026-06-14T09:24:22.028268,132.3629,1965,2026-06-13T12:05:32.627475
Dragonscale Brush Test on Suzanne_c2b2b83621e841f6bfc2143893e364ce,scene.gltf,gltf,0.023,19.0,1224481.0,1757843.0,2979867.0,14.395922,5.430868,225466.9035,323676.2498,2.28425,1.76091,1.35017,False,True,-2489.0,,0.0,1,0,0,0.0,0,0,False,False,extreme,24141,3.5268,2026-06-14T09:24:25.556447,104.964,19,2026-06-13T12:07:23.849805
Dreadnoughtus skeleton_efd757df9f3e493e9e741971e63deeb8,scene.gltf,gltf,0.1221,108.0,7018367.0,2339457.0,7018370.0,59.214504,0.245339,28606770.5494,9535595.6178,0.814171,0.458722,0.656904,False,True,21843.0,,395.0,1,0,0,0.0,0,0,False,False,extreme,128026,5.8475,2026-06-14T09:24:31.405390,66.0647,108,2026-06-13T12:08:42.078459
Dried Ground Brush on a Cube_003e5601871640b790f39d7ff3a7ce70,scene.gltf,gltf,0.0304,26.0,1639357.0,2390952.0,4022596.0,34.93322,7.854763,208708.6425,304395.1661,1.98957,1.98714,1.98676,False,True,-2703.0,,2.0,1,0,0,0.0,0,0,False,False,extreme,31829,5.0814,2026-06-14T09:24:36.488099,117.9994,26,2026-06-13T12:10:47.328711
dried out ground_uUk8t7tQ3Pbnw1aHJUKotkOgtTN,scene.gltf,gltf,0.8058,506.0,1092697.0,1261762.0,2262393.0,1857.295116,43.1071,25348.4229,29270.3986,8.18671,8.19673,0.64239,False,True,0.0,,0.0,4,4,16777216,48.0,2048,2048,True,False,extreme,844917,3.6421,2026-06-14T09:24:40.131460,49.6317,506,2026-06-13T12:11:45.832730
Early 20th Century Grave Marker in Sioux Falls_924cfcef6799475d8b671dcb8af176c3,scene.gltf,gltf,0.0349,23.0,1462195.0,2404505.0,3865526.0,2.302195,0.066384,22026287.4367,36221104.7589,0.361693,0.377351,0.486383,False,True,-1267.0,,0.0,1,2,33554432,96.0,4096,4096,False,False,extreme,36568,5.957,2026-06-14T09:24:46.089675,89.7957,23,2026-06-13T12:13:22.418896
Eerste Heuvel_699b910b3b9b4e31913adc5040e894d1,scene.gltf,gltf,0.0209,13.0,755797.0,1048552.0,1790423.0,40340.314729,1995654.377446,0.3787,0.5254,127.622421,114.150511,136.987358,False,True,782.0,,0.0,2,4,268435456,768.0,8192,8192,False,False,extreme,21867,3.0718,2026-06-14T09:24:49.163567,61.3597,13,2026-06-13T12:14:28.811416
El Alcazar de Colón_d5ca678d71b740e0a38918ecdc6d7a50,scene.gltf,gltf,0.0226,14.0,844183.0,1208890.0,2036560.0,4549.693968,16360.831181,51.5978,73.8893,49.963228,63.030653,5.19521,False,True,-987.0,,0.0,3,6,402653184,1152.0,8192,8192,False,False,extreme,23697,3.7465,2026-06-14T09:24:52.911540,63.9238,14,2026-06-13T12:15:39.419642
"Eric Gill, 'Ecstasy', 1910-1_0883f7e186f24180a6034e5b70391983",scene.gltf,gltf,0.0179,15.0,939385.0,1554968.0,2495940.0,1825020.474035,60264171.008222,0.0156,0.0258,353.33107,195.017151,874.590088,False,True,147.0,,0.0,1,0,0,0.0,0,0,False,False,extreme,18745,3.0696,2026-06-14T09:24:55.982237,67.6124,15,2026-06-13T12:16:51.775001
Excavations at St Piran's Oratory 5th March 2014_7e9459ce3d8a4632b6575af761f4480b,scene.gltf,gltf,0.0163,10.0,614368.0,1000000.0,1611769.0,1207.079509,1093.451981,561.861,914.5349,23.206058,11.194063,4.209307,False,True,-586.0,,0.0,1,2,33554432,96.0,4096,4096,False,False,extreme,17112,3.2662,2026-06-14T09:24:59.249742,65.2599,10,2026-06-13T12:18:01.407923
Fai Fai_1f9fc7947296473d88384c63b8416d7b,scene.gltf,gltf,0.0215,14.0,872157.0,1258041.0,2107191.0,2.196528,0.143738,6067681.6241,8752314.3862,0.492376,0.295448,0.988084,False,True,-818.0,,1093.0,1,0,0,0.0,0,0,False,False,extreme,22554,4.7531,2026-06-14T09:25:04.004871,51.1151,14,2026-06-13T12:18:58.239139
Fairchild C-119 _Flying Boxcar__3873464b05c8491cbc61a09af87076c6,scene.gltf,gltf,0.0621,39.0,1058116.0,1173917.0,2215257.0,1208.61887,2.976086,355539.3985,394449.8941,1.411314,1.444677,1.459658,False,True,1701.0,,0.0,22,42,5046272,14.1875,1024,1024,False,False,extreme,65073,3.3104,2026-06-14T09:25:07.316649,99.1678,39,2026-06-13T12:20:43.168934
Final Zombie Sketchfast 6_abab541e2d154f2f847fdf52433509e5,scene.gltf,gltf,0.0126,10.0,644409.0,1048570.0,1694378.0,174812.326088,10937371.290606,0.0589,0.0959,135.625923,202.762169,397.725393,False,True,-339.0,,0.0,1,0,0,0.0,0,0,False,False,extreme,13168,2.273,2026-06-14T09:25:09.590760,74.5192,10,2026-06-13T12:22:02.003813
Fish Fossil (untextured)_11b0e1d3a987452986ed630471538161,scene.gltf,gltf,0.05,34.0,2220006.0,3500000.0,5719737.0,193767.661606,4262919.626347,0.5208,0.821,421.566879,54.130778,186.808395,False,True,-2029.0,,0.0,1,0,0,0.0,0,0,False,False,extreme,52419,11.3918,2026-06-14T09:25:20.983900,102.6983,34,2026-06-13T12:23:56.575037
Fish Fossil_a53f5d2b7dfc4a8e9fa03e18c07cef57,scene.gltf,gltf,0.0503,34.0,2220146.0,3500000.0,5720072.0,193767.661606,4261814.260212,0.5209,0.8212,421.566879,54.130778,186.759956,False,True,-1986.0,,0.0,1,2,134217728,384.0,8192,8192,False,False,extreme,52708,20.0631,2026-06-14T09:25:41.049200,107.7245,34,2026-06-13T12:25:55.430616
Fortress_gcJeRJeG6GwjxXDfmfEMEjiDzOo,scene.gltf,gltf,0.082,57.0,2596742.0,1298548.0,3246007.0,5895.195369,820.512019,3164.7824,1582.6069,8.8,22.2,4.2,False,True,16383.0,,0.0,21,4,1048576,3.0,512,512,False,False,extreme,85949,8.0845,2026-06-14T09:25:49.138110,180.5588,57,2026-06-13T12:29:02.764326
